,track_id,track_name,artist_name,acousticness,valence,danceability,kmeans
840,5nF4ra7lETOa2Wc4LrQ01g,Grown Up Christmas List,Janice Javier,0.589,0.175,0.444,2
846,6LivYvzWanzTQm8Tm3aTsa,Pasko Na Sinta Ko,Gary Valenciano,0.735,0.0942,0.279,2
848,0gBc4Ksp2LSHbGTa1jBKTO,Angels We Have Heard on High,Acapellago,0.896,0.183,0.174,2
855,3wBcrPHByBidLaFiroUBMc,O Holy Night,Regine Velasquez,0.89,0.198,0.313,2
857,3nmRSlzR7xtAo95GjfIahZ,Bibingka,Ben&Ben,0.797,0.431,0.356,2
858,1s5ggQsYhH2TNhm5ZAO108,Have Yourself a Merry Little Christmas,Jamie Rivera,0.721,0.129,0.379,2
859,4dTIX4OfjS2uEIRukvNuOB,A Christmas Song for You,Jose Mari Chan,0.674,0.202,0.193,2
861,16vO4tzuXe5bsNIr4EODv0,Kiss You This Christmas,Why Don't We,0.0658,0.0622,0.532,2
864,356dWMVMXLJI6OEoq0ITf1,O Holy Night - 1999 Remastered,Nat King Cole,0.589,0.107,0.228,2
867,5ptViFrfoKdGPTdd9oQCwr,Universe,EXO,0.603,0.146,0.38,2
881,6rs9noqED5d5SRVfK5evQC,Heartbeat,Leroy Styles,0.0225,0.189,0.41,2
890,5hM6sP0Gh1jD57drszNueC,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,0.0188,0.171,0.483,2
904,1GO9vCm5Cra5uWGSWQ5mGK,In the Dark,Camila Cabello,0.21,0.282,0.425,2
911,2xGjteMU3E1tkEPVFBO08U,This Is Me,Keala Settle,0.00583,0.1,0.284,2
912,1aLNpg2kKvUncflV8xE5AA,Linger,The Cranberries,0.0841,0.209,0.438,2
913,1eQuRtkMEPhf2DGzpBVTE6,Ode To My Family,The Cranberries,0.0472,0.149,0.367,2
915,6xy6jNeNTYwjnKTDzMyHw2,Zombie,The Cranberries,0.0158,0.313,0.309,2
919,5zZw8cn8WKoplKaeMPSvwi,The Good Side,Troye Sivan,0.418,0.316,0.424,2
925,4uyp73pmsVkogpZfKSLdyh,Tagpuan,Moira Dela Torre,0.864,0.234,0.492,2
930,6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,0.913,0.205,0.447,2
937,0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,Loren Allred,0.423,0.227,0.277,2
938,0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,Ziv Zaifman,0.243,0.0998,0.265,2
939,43ay9lQZ5rfNcOOHhRF2cM,The Greatest Show,Hugh Jackman,0.000239,0.4,0.417,2
942,0GVuLQtPXFaL18ijEOqoAa,Tightrope,Michelle Williams,0.3,0.191,0.351,2
944,3IkWmgGsXbsafrunwPojXO,From Now On,Hugh Jackman,0.00483,0.0834,0.516,2
945,66y7x28jXOPrcmu3D5Zjh6,A Million Dreams (Reprise),Austyn Johnson,0.726,0.102,0.253,2
946,6f8b6mxNNDJdE5tC4MCTxt,Never Enough (Reprise),Loren Allred,0.889,0.133,0.382,2
951,1p2abSfly8JtPIkwr44i6s,"You Are My Sunshine - From ""Meet Me in St. Gallen""",Moira Dela Torre,0.918,0.365,0.484,2
961,5V5eCLSxm7JWLj9vOcNLIw,Valentine,Jim Brickman,0.824,0.164,0.523,2
970,00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,0.0851,0.271,0.518,2
971,4SN0eYjvqBmElFQxP0Inys,Sundo,Moira Dela Torre,0.387,0.188,0.355,2
972,4hEcAsNF6RG9VCV7xElgCG,You Are My Sunshine,Moira Dela Torre,0.921,0.362,0.492,2
974,2M0rq3xC7x6dGwNdx0Thka,Marco's Theme - Saglit,Moira Dela Torre,0.949,0.374,0.44,2
978,7EUfNvyCVxQV3oN5ScA2Lb,Next To Me,Imagine Dragons,0.328,0.351,0.385,2
981,2wTxJWt2gA9a1Z94dTnPiI,Oks Lang,John Roa,0.855,0.165,0.313,2
982,7rOqvrGASV9CZh20uvGXpq,Take Her to the Moon,Moira Dela Torre,0.917,0.17,0.354,2
1000,2VgJDTfkuwlm7WIHnvtRCQ,You Are The Reason,Calum Scott,0.913,0.199,0.329,2
