,track_id,track_name,artist_name,instrumentalness,liveness,loudness,kmeans
1090,3ZbJMlEL4Kcme0ONRO7Slx,You Can Cry,Marshmello,0.0,0.27,-4.545,1
1102,0BOEuUKoHdy8in20fG5smd,Messy,Kiiara,0.0,0.326,-5.82,1
1105,3aW0ds4A4tSQDIp75FqWTo,FAKE LOVE,BTS,0.0,0.306,-4.515,1
1112,4lRwa7PKcGIuJMwtPIYKdy,Anpanman,BTS,0.0,0.288,-2.92,1
1117,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,6.66e-05,0.35,-4.546,1
1121,2iTQEWxLtKrIoYr7FIWq6q,Babies (feat. Alessia Cara),KYLE,8.05e-05,0.331,-7.07,1
1128,5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,0.0,0.415,0.175,1
1134,619pVMIK3WvX529JIkQTY3,Give Yourself A Try,The 1975,0.0,0.427,-5.002,1
1135,0X8DcetL926BYiPJYstJTc,Lucid Dreams,Juice WRLD,0.0,0.34,-7.23,1
1136,6Bg7MznA9X0dIhlAsLyBYj,Ghost Town,Kanye West,0.0,0.329,-4.251,1
1139,3dG6tjetoR4GMmUGZUprLt,Wouldn't Leave,Kanye West,0.0,0.313,-8.559,1
1143,782ET7GKMVvNPBez4nsurW,FAKE LOVE (Rocking Vibe Mix),BTS,0.0,0.432,-4.009,1
1145,4E5IBDRu8kJbzUv1qaZM1t,Forget to Forget,SHY Martin,1.94e-05,0.417,-8.891,1
1158,7b8YOVV5quZcSKEijDgyWB,DDU-DU DDU-DU,BLACKPINK,0.0,0.267,-3.922,1
1160,2r5oD7twaQTsv5KoRS6v16,Really,BLACKPINK,0.0,0.277,-2.082,1
1161,3AyLh4R4D3fQfyqCsTdFf3,See U Later,BLACKPINK,0.0,0.582,-3.965,1
1164,003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,0.0,0.39,-6.276,1
1168,1qAPA8TooLVEqAZ58fhcrt,BOOMBAYAH - KR Ver.,BLACKPINK,0.0,0.412,-3.157,1
1169,2j2fIJGh4PMdXt9ULI5Tlc,Dura,Daddy Yankee,0.0,0.413,-3.468,1
1189,5fcM0StdQxMjzulVGhFkHN,8 Out Of 10,Drake,0.0,0.499,-7.874,1
1190,0bAkKNCQfWkexHFn7fIKns,In My Feelings,Drake,0.0144,0.448,-9.445,1
1197,3Yw09dj3cTXsAzlLjgBfIP,Talk Up,Drake,5.3e-06,0.302,-10.65,1
1199,7txPE73wHbuXYkM1h8zNrG,Mob Ties,Drake,0.00127,0.276,-8.392,1
1202,2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,BLACKPINK,0.0,0.281,-3.921,1
1205,7AWtaOSb7cgi16wJr3mkuf,REALLY - KR Ver.,BLACKPINK,0.0,0.315,-2.08,1
1206,32UJH1F38AMSjZilQyBzOE,I See Love - From Hotel Transylvania 3,Jonas Blue,0.0,0.324,-3.899,1
1210,514mQDPkXmPzsYwGNmkBJZ,SEE U LATER - KR Ver.,BLACKPINK,0.0,0.579,-3.973,1
1211,75ls0gurX68lUmMjE7QcsE,all the kids are depressed,Jeremy Zucker,2.42e-05,0.544,-8.281,1
1225,6qAzAmPBUpGrk7XADZHR5k,LOVE SCENARIO,iKON,0.0,0.294,-4.623,1
1228,5vsRm2aCBl5T2qdpvwtrf6,Sun In Our Eyes,MØ,0.00241,0.661,-3.318,1
1249,5yNEdBlZMxpcVtGKz5NFk5,Side Effects (feat. Emily Warren),The Chainsmokers,0.0,0.55,-6.744,1
1251,07ipXN6CNTw34qwSYePKpg,Summer on You,PRETTYMUCH,0.0,0.462,-6.55,1
1252,4txpZk7WSjV1dsZAw5WYcT,Still New York (feat. Joey Bada$$),MAX,0.0,0.369,-6.371,1
1259,0GuAFGEkbWayjhWdlYlr7K,"Closer You and I - From ""Loving in Tandem""",Michael Pangilinan,0.0,0.336,-6.82,1
1261,381g0b6QZxC13SzA2HRMIc,Power Up,Red Velvet,0.00745,0.306,-4.618,1
1268,0eYP6uVKRanxz52OW1MAPR,Animal,Troye Sivan,0.00517,0.295,-11.155,1
1275,5a8RPWgKSmcGBGcffmIrUi,Thunderclouds,Sia,9.06e-06,0.263,-5.985,1
1291,5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),Calvin Harris,4.91e-06,0.325,-5.991,1
1294,5CBp1DpEIdw76H1Ol5SXUK,Taguan,John Roa,3.08e-05,0.301,-10.991,1
1300,0EQMrxdeiBhry9JCxskko3,I'm Fine,BTS,0.0,0.346,-2.782,1
1306,3MpwwsTFVtbEunR1dUMJUc,DNA (Pedal 2 LA Mix),BTS,0.0,0.301,-3.44,1
1309,7i1pavASRUZk62ejaUIESa,Crying Over You ◐,HONNE,0.0,0.352,-8.316,1
1315,1Fo4OvzP9PThFKMeMIAEYu,Superhero,Lauv,0.0,0.285,-8.617,1
1319,2XTquzYQAdT1Hk78bOUwsv,Greatest,Eminem,0.0,0.341,-5.186,1
1320,28FGV3ORH14MYORd7s5dlU,Not Alike (feat. Royce Da 5'9),Eminem,0.0,0.339,-3.746,1
1321,2gsNpSn7VvvJuSrIDfRoYy,Kamikaze,Eminem,0.0,0.329,-5.175,1
1326,4D5Ode2OfZMxIwQyvmhUe8,Lil’ Touch,Girls' Generation-Oh!GG,0.0,0.301,-4.694,1
1327,5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,3.33e-06,0.338,-6.439,1
1336,6MMIXC8IMjrkz6TIzQ0cey,"Bata, Dahan-Dahan!",IV Of Spades,2.7e-05,0.311,-7.851,1
1342,0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,Gucci Mane,0.0,0.359,-5.144,1
1343,1emnGTAsF4zSaWidgvK08I,Sandali,Because,5.48e-06,0.451,-14.957,1
1346,1jo3TwNGCXfNdB5uba3ZVv,Killshot,Eminem,0.0,0.371,-8.647,1
1351,2SL6oP2YAEQbqsrkOzRGO4,Venom - Music From The Motion Picture,Eminem,0.0,0.543,-5.063,1
1356,575NJxNUVDqwJGdzBrlLbv,Lost In Japan - Remix,Shawn Mendes,0.0,0.347,-5.377,1
1376,74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way,Lady Gaga,0.0,0.764,-5.972,1
1379,7jr3iPu4O4bTCVwLMbdU2i,Kiss and Make Up,Dua Lipa,0.0,0.303,-4.188,1
1387,73ipE4lfZ53pvBbJPXkiEK,seoul (prod. HONNE),RM,2.47e-05,0.324,-8.63,1
1390,5fCDWDX2Kv9jc1s7nZfzOi,forever rain,RM,6.53e-05,0.392,-8.437,1
1392,5Qg0xK4s85tINbQcJD3GDq,badbye,RM,0.0107,0.296,-8.88,1
1395,4J4zx8xGJpuGndrVc06KaT,Diamond Heart,Alan Walker,0.0,0.631,-6.145,1
1397,2r1T6xGTVaNAqBoPH4lZEE,Waste It On Me (feat. BTS),Steve Aoki,0.0,0.72,-4.595,1
1399,5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.0,0.394,-5.029,1
1407,2MqK2bA1U6MO0EbUpCOG2r,Sign,EXO,0.0,0.406,-5.289,1
1412,4UNkRwQUd2KTpiWPjyTqSc,With You,EXO,0.0,0.431,-7.051,1
1418,4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,0.0,0.259,-7.316,1
1420,5T8EDUDqKcs6OSOwEsfqG7,Don't Stop Me Now - Remastered 2011,Queen,0.000176,0.776,-5.276,1
