track_name,artist_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Wherever You Will Go,The Calling,0.558,0.719,2.0,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027
What Do You Mean?,Justin Bieber,0.845,0.567,5.0,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,0.681,0.521,0.0,-5.849,0.141,0.12,8.41e-05,0.108,0.181,94.997
Oh Lord,MiC LOWRY,0.273,0.794,7.0,-6.644,0.0675,0.0217,0.0,0.0616,0.377,95.902
Lucky,Jason Mraz,0.623,0.417,0.0,-8.699,0.0354,0.296,0.0,0.135,0.721,130.032
Ang Huling El Bimbo,Eraserheads,0.524,0.503,6.0,-11.79,0.0245,0.184,0.0,0.264,0.436,89.497
Ikaw,Yeng Constantino,0.654,0.336,10.0,-7.21,0.0307,0.575,0.0,0.0784,0.105,120.027
Bubbly,Colbie Caillat,0.697,0.474,9.0,-6.663,0.0351,0.603,0.0,0.11,0.249,127.904
Pusong Ligaw,Jericho Rosales,0.608,0.417,7.0,-10.341,0.0276,0.645,6.69e-06,0.128,0.142,127.976
Hymn for the Weekend - Seeb Remix,Coldplay,0.564,0.849,0.0,-3.516,0.0517,0.00868,4.68e-06,0.12,0.427,102.028
Stickwitu,The Pussycat Dolls,0.548,0.554,9.0,-6.408,0.0587,0.283,0.0,0.0708,0.382,79.918
Lost Boy,Ruth B.,0.586,0.128,7.0,-9.297,0.0496,0.963,0.0,0.0858,0.371,123.498
Bikini Body,Dawin,0.824,0.784,1.0,-4.961,0.0438,0.0412,0.0,0.0459,0.789,99.007
Capsize,FRENSHIP,0.683,0.708,5.0,-6.244,0.0305,0.0398,0.155,0.686,0.355,92.991
Till I Met You,Angeline Quinto,0.452,0.476,2.0,-8.042,0.0338,0.689,2.27e-06,0.361,0.172,139.833
It's Gotta Be You,Isaiah Firebrace,0.422,0.745,8.0,-4.632,0.0378,0.221,0.0,0.0981,0.588,95.487
Perm,Bruno Mars,0.853,0.871,8.0,-3.715,0.0851,0.0145,6.84e-05,0.198,0.863,124.021
Dynamite (feat. Pretty Sister),Nause,0.811,0.801,9.0,-6.0,0.0802,0.0548,2.09e-05,0.0742,0.693,105.055
Cake - Challenge Version,Flo Rida,0.786,0.854,2.0,-4.247,0.0523,0.0729,1.63e-06,0.179,0.687,105.078
Your Body Is a Wonderland,John Mayer,0.647,0.729,5.0,-6.251,0.0236,0.0206,0.0489,0.134,0.687,94.01
Friend of Mine,Juris,0.518,0.457,11.0,-7.596,0.0271,0.649,6.84e-06,0.136,0.168,135.962
A Thousand Years,Christina Perri,0.421,0.407,10.0,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028
Somebody Else,VÉRITÉ,0.674,0.593,11.0,-6.47,0.0582,0.201,0.000529,0.209,0.464,116.995
Starting over Again,Toni Gonzaga,0.535,0.441,0.0,-6.481,0.0293,0.474,1.21e-06,0.108,0.256,119.706
I'm Yours,Jason Mraz,0.686,0.457,11.0,-8.322,0.0468,0.595,0.0,0.105,0.718,150.953
Taped up Heart (feat. Clara Mae),KREAM,0.675,0.937,0.0,-3.525,0.0509,0.152,0.0,0.154,0.567,103.961
The Day You Said Goodnight - Acoustic Version,Hale,0.424,0.221,4.0,-9.279,0.0351,0.882,0.0,0.134,0.299,125.964
Again,Leanne & Naara,0.82,0.301,0.0,-9.849,0.0438,0.543,0.0,0.0961,0.545,119.882
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,0.689,0.791,0.0,-5.194,0.053,0.023,0.0,0.0526,0.755,95.04
Never Be Like You,Flume,0.494,0.559,0.0,-5.445,0.0565,0.436,0.0,0.164,0.264,119.247
Alone,Alan Walker,0.676,0.929,10.0,-3.194,0.0458,0.186,0.000405,0.121,0.157,97.019
Locked Away (feat. Adam Levine),R. City,0.509,0.671,1.0,-5.709,0.0678,0.304,0.0,0.0452,0.55,118.413
Everglow,Coldplay,0.534,0.445,4.0,-9.155,0.0292,0.456,0.0684,0.112,0.136,146.107
When We Were Young,Adele,0.381,0.594,3.0,-5.97,0.0486,0.348,0.0,0.0925,0.273,143.86
The Greatest,Sia,0.639,0.785,10.0,-6.167,0.174,0.0174,0.00107,0.0512,0.686,191.95
Sunday Morning,Maroon 5,0.608,0.768,0.0,-5.227,0.0475,0.0913,0.0,0.0629,0.809,88.059
How Far I'll Go,Auli'i Cravalho,0.571,0.307,1.0,-10.958,0.0499,0.649,0.0,0.178,0.108,83.72
"Me, Myself & I",G-Eazy,0.756,0.674,0.0,-6.518,0.0959,0.0184,0.0,0.158,0.389,111.995
Almost Is Never Enough,Ariana Grande,0.324,0.327,2.0,-7.494,0.0409,0.825,0.0,0.101,0.334,81.328
This Time (Original Movie Soundtrack),James Reid,0.552,0.491,7.0,-7.776,0.0306,0.687,0.0,0.139,0.222,126.064
Someday We'll Know,Mandy Moore,0.556,0.59,1.0,-5.608,0.0313,0.361,0.0,0.12,0.272,107.878
Miss You,James Hersey,0.88,0.605,5.0,-7.639,0.0531,0.104,0.00488,0.106,0.626,120.017
Calling All My Lovelies,Bruno Mars,0.662,0.705,1.0,-6.56,0.0399,0.0392,2.38e-06,0.105,0.865,159.996
Lost Stars,Adam Levine,0.494,0.582,0.0,-4.769,0.0266,0.102,0.0,0.0798,0.416,82.025
"Nothing's Gonna Stop Us Now - From ""Crazy Beautiful You""",Morissette,0.528,0.603,6.0,-5.883,0.0296,0.216,0.0,0.304,0.482,185.998
Let Her Go,Passenger,0.509,0.538,7.0,-7.335,0.0572,0.385,0.0,0.104,0.244,75.089
